132,Ho adorato il personaggino in mutande che cercava l'anello,2023-05-25,5,FAVOLOSO,127,9
133,"Ho messo una stella perchè non potevo metterne zero (per gli sviluppatori: mettete zero stelle). L'opinione di Giordano è totalmente errata, il suo film preferito deve essere Barbie (sempre per gli sviluppatori: non provate a togliere questo commento 😤)",2023-05-25,1,Penoso,129,9
134,"Non si può dire che sia fatto male, tuttavia mi aspettavo di meglio da Brad Pitt",2023-05-25,3,Bel film,131,9
137,"Ho capito dopo mezz'ora che non stavo guardando il Sibillo dei Fratelli, ma per il poco che ho visto non mi è piaciuto",2023-05-25,2,Ho sbagliato film,136,9
151,"bello, scena della pesca 10/10",2023-05-29,5,uanm,114,150
162,molto bello io mi sento come gollum,2023-06-02,4,paxerello,161,9
168,"L'ho visto quando ero in cinta. Mi sono sentita più leggera, ora voglio perseguire la libertà e voglio imparare a guidare un elicottero apashe come Neo. Chi mi passa la pillola? Grazie e arrivederci 😍",2023-06-07,5,Fantastico,167,8
177,"ho appena cancellato la mia recensione, wow, pieno di risorse questo sito!!",2023-06-11,3,pazzo,175,146
